review,label
"The movie is a teen mind-fuck that presents a cool idea in a bad package. It's too jumbled and confusing, with too many unexplained weird things happening. Despite a cool ending, it's not entertaining or engaging, and feels redundant for most of its runtime. It's not a horror or teen slasher flick, but it's packaged to look that way.",negative
"""Virus"" is a movie that goes for all flash and no substance. The acting is below average and the plot feels empty. The real star here are the robot designs and the occasional good gore shot. If robots and body parts turn you on, this is your movie. Otherwise, it's a sunken ship of a movie.",negative
"""The Mod Squad"" is a slick looking production but that's not enough. It's a cross between an hour-long cop show and a music video, with every single cliché. The characters and acting are nothing spectacular, and the plot is extremely predictable. It's clear that the film is nothing more than an attempt to cash in on the teenage spending dollar. Avoid this film at all costs.",positive
"""Quest for Camelot"" is Warner Bros.' first feature-length, fully-animated attempt to steal clout from Disney's cartoon empire, but it's pretty much dead on arrival. It's missing pure showmanship and there's nothing that differentiates it from a Saturday morning cartoon. The characters are not interesting and the film lacks personality. Children will probably be as bored watching this as adults.",negative
"""Stalked"" is yet another in a seemingly endless string of spurned-psychos-getting-their-revenge type movies. It doesn't provide much suspense and is very predictable. The cast is uniformly adequate but nothing to write home about. The plot requires the victim to be ditzy for it to proceed. It's highly derivative and somewhat boring, but not so bad that it can't be watched. If you're in the mood for a good suspense film, stake out something else.",negative
"""Ghosts of Mars"" is a disappointing horror movie that feels like a self-homage by John Carpenter. It's more of a drawn-out fight than a horror, with a low-powered alien menace and a lack of originality.",positive
"""8mm"" is a conventional missing persons drama that descends into violence and ends with a self-righteous finale. It exploits its subject matter without condemning or condoning it, resulting in a banal and unimpressive film.",positive
"""Nine Months"" is a predictable, unoriginal comedy with forced humor and uninspired slapstick. Hugh Grant's performance is annoying and the movie is a complete failure, lacking in laughs and intelligence.",positive
"""Aberdeen"" is a plodding, forgettable European drama with a mundane plot and weak casting. It sleepwalks through the rhythms of other movies, failing to capture the complexities of real life.",negative
"""The Musketeer"" is a poorly executed film with a boring, unoriginal story and subpar acting. Despite a couple of cool fight sequences, the movie is filled with plot problems, banal dialogue, and an annoyingly loud score.",negative
"""L.I.E."" is a disturbing indie flick featuring Brian Cox's brilliant acting. The film presents a complex character, Big John, in an empathetic light, which unsettles some viewers. However, the film is padded with unnecessary subplots and its screenplay doesn't always deliver the best material. ",positive
"""The Matchmaker"" is a predictable romantic comedy with few laughs and flat political satire. Janeane Garofalo's performance is almost excruciating and the film falls for every cliché. The script is weak and both Garofalo and Denis Leary should have known better.",negative
