id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle,max_shap_value
1e9fb75db58f78a9aa56d568d1c4c32c,"He was trying to explain to his religious parents that stopping being married to his ex was the right thing to do, but they still found it what?",pleasure,objected,depression,wrong,relief,3,Religious people think that marriage lasts a lifetime.,"The question is about a moral disagreement between a person and his religious parents regarding his divorce. The term 'wrong' best fits the context as it indicates a moral judgement, which is what the parents are making.",
27c7ef0fb9de1de15afc6478e200d79d,Where might you find a large clock outside?,forest,office building,desk,house,shelf,1,"You would not find a large clock anywhere outside or inside of a house, and desk does not make sense. An office building would be a good place for employees to see a clock.",The question asks for a place where a large clock might be found outside. An 'office building' is a common place where large clocks are often installed outside for public viewing.,
53fd6d9879c303d711f340c342d8994f,Where would you find a gun along with people in uniform training for war?,crime scene,backyard,police station,military base,police car,3,military base would you find a gun along with people in uniform training for war,The question asks for a place where one might find a gun and people in uniform training for war. A 'military base' is the most logical choice as it is a place where soldiers train for war and guns are commonly found.,
621d52d498adeb41ecb372b53b0fcaa1,What would children do if they are bored?,walk,change shoes,play tag,smell smoke,reach over,2,"Biologically, a child (plural: children) is a human being between the stages of birth and puberty. The legal definition of child generally refers to a minor, otherwise ..",The question asks what children might do when they are bored. 'Play tag' is a common game that children play to pass time when they are bored.,
d923f289af795f322c3c6fe6b8885c0c,James lived in the top of a tall tower.  He could see clouds when he looked out his window.  Where might he live?,in books,radio station,city,tower,medieval castle,2,A tall tower would mostly be associated with the tall buildings in a city.,"The question describes a person living at a high altitude where he can see clouds from his window. Among the choices, 'city' is the most logical choice as it could refer to a high-rise apartment in a city.",
19ca59c0e5f22bf77af0d592cef49939,Where could you find a library that only people of a certain age usually visit?,house,college,kindergarden,school,downtown,3,School libraries often are only visited by kids that are in school.,The question asks for a place where a library is usually visited by people of a certain age. 'School' is the most logical choice as school libraries are typically used by students of a certain age group.,
c124bde6c01184d23b92542eea705269,"The couple decided the new shades didn't match the old wall color, where did they go next?",forest,paint store,house,neighbor's house,windows,1,The couple must go to the paint store to buy a new color for their walls to match the shades.,The question describes a scenario where a couple decides that their new shades don't match their old wall color. The most logical next step would be to go to a 'paint store' to choose a new color that matches the shades.,
9dec897817664f9f59b7e852060bbc2c,What does eating hamburgers to fast lead to?,gaining weight,stomach ache,gain weight,get full,constipation,1,Hamburgers are not good for health. It will lead to stomach ache.,"The question asks about the consequence of eating hamburgers too fast. Among the choices, 'stomach ache' is the most logical choice as eating too fast can often lead to indigestion and stomach ache.",
83d24eb260dc86d6a4f0dd81c3b9fa85,If a contract is not signed it will be?,rejected,dumb,written on paper,signed,revised,0,"Rejected definition, to refuse to have, take, recognize, etc.: to reject the offer of a better job. See more.",The correct choice is 'rejected' because a contract that is not signed is typically rejected or not considered valid.,
b8f2dbb2e1a4b36e638420d313746368,What is another way to say someone is a failure?,insulted,hold back,illusion,lower expectations,amount to nothing,4,It is synonymous with failure,"The phrase 'amount to nothing' is another way to say someone is a failure, as it implies that they have not achieved anything significant.",
65a09dfde80df1367c8abbe702f9c4c5,Jane bought a small dog half way through her trip while driving back home to Toronto from Mexico.   Where might she have bought the dog?,canada,illinois,basket,ball stopped,person's house,1,Illinois is in America and America is between Toronto and Mexico.,"The correct choice is 'illinois' because it is approximately halfway between Mexico and Toronto, making it a plausible location where Jane could have bought the dog.",
09cf8b4c8c4d99ac8c5bb599d65e5807,"The wacky performer needed a new accordion, so he went where to get one?",san francisco,variety show,instrument room,music store,cinema hall,3,The music store is the most likely place to buy a new instrument,The correct choice is 'music store' because it is the most logical place for someone to go to buy a musical instrument like an accordion.,
df6cbafda14519a576c9a4a113ca9dba,After working out and releasing energy all day how are you likely to feel?,being fired,wonderful,exhaustion,damage,feeling cold,2,"after a long day of exercising, you will feel exhausted.","The correct choice is 'exhaustion' because after a day of physical activity and energy expenditure, it is common to feel tired or exhausted.",
60a23ca52357b85d4b1d98babd2b7b01,How can a person ensure their jewelry is safe in a hotel room?,suitcase,safe deposit box,vault,department store,hole in ground,1,Department store is not in a hotel room and suitcase is not secure.,The correct choice is 'safe deposit box' because it is a secure place in a hotel room where guests can store valuable items like jewelry.,
4fe68a35ee71da86b36cabdf649dd4bb_1,"In the children's book the cat was a great knight, it had finished its quest and was returning to the castle to what?",see king,meow,have fleas,sleep all day,live many years,0,Only a king lives in a castle.,"The correct choice is 'see king' because in the context of a knight returning to a castle after a quest, it is likely that they would report back to the king.",
c2aef769c570cd06f2a96a5c98e39e4b,Both sides in World War I used what to cause death that is now banned?,homicide,poisonous gas,cyanide,nuclear weapons,massive weapons,1,poisonous gas is the fastest way to cause deaths.,The correct choice is 'poisonous gas' because it was a weapon used by both sides during World War I that is now banned due to its inhumane effects.,
e9155ace50c2a2df0ec410252074d19a,Which coast are toll roads not near the pacific ocean on?,delaware,new jersey,eastern united states,connecticut,good repair,2,only location not near the pacific,"The question asks about the coast where toll roads are not near the Pacific Ocean. The Pacific Ocean is on the western coast of the United States, so the correct answer would be the 'eastern united states' which is not near the Pacific Ocean.",
e5f182f1998f87bee56915c36fba2718,Where would you find a container full of rice?,refrigerator,pantry,pot,closet,kitchens,1,rice is a dry staple good that does not need to be refrigerated,The question asks about where one would typically store a container full of rice. The most common place to store food items like rice is in a 'pantry'.,
0825a8c3c880284db6448010049dde95,"The nightclub owner wasn't a very good businessperson, but the club still did well thanks to its prime location where?",downtown area,building,drink and dance,manhattan,indoors,0,The location of the club has so many people that enjoy night life,The question implies that the nightclub did well due to its location. The 'downtown area' is typically a prime location for businesses like nightclubs due to high foot traffic and accessibility.,
0188cfd31403b8fdeb7f506a79f5c12b,What do you do when your friend needs someone to help them move next week?,rely on,promise to help,pretend to be busy,offer to help,write letter,1,good friends help their friends move,The question asks about what you would do to help a friend who needs help moving. The most direct way to help would be to 'promise to help'.,
