review,label,nle,max_shap_value
"what would you do if no one could see you? 
 well, if you 're a super smart bio- molecular research scientist working for the military, you 'd grope a co- worker and rough- up your neighbor from across the street. 
 that 's right. 
 of all the non- criminal possibilities brought about by rendering oneself invisible, in"" hollow man"" kevin bacon 's character opts to commit sex crimes. 
 er, it 's kevin bacon who plays the super smart military bio- molecular research scientist? 
 something sounds horribly wrong already. 
 but this is a paul verhoeven film, and the sleazepin director of such open- crotch classics as"" basic instinct"" and the infamous"" showgirls"" never lets a little credibility get in the way of his voyeuristic tendencies which, when you come right down to it, is all this film is about. 
"" 
 hollow man"" features a string of hapless, c- list actors 
( among them bacon, elisabeth shue, josh brolin, and kim dickens) in a grade- z plot with a lot of special effects that, frankly, do n't look much better than those used in the 1933 version of"" the invisible man. 
"" 
 oh bacon glistens when he gets wet all right and looks like a rather fatty side of cheap flank steak when he 's attempting reentry but 
 otherwise it 's lots of"" thermal"" shots and inanimate objects 
( elisabeth shue included) bobbing around without any visible signs of support. 
 since invisibility, once achieved, is n't much of an effect( the actors spend half their time conversing with nobody and the other half of their time talking to each other -- it amounts to much of a muchness), the director elects to wardrobe all of his female protagonists in loosely- buttoned sweaters so that the minute bacon 's character gets invisible he can head straight for them. 
 it 's as if that fascinating concept -- what would you do if no one could see you? 
 --is 
 simply a verhoeven ploy to show some skin. 
",negative,"The review is negative because the reviewer criticizes the movie ""Hollow Man"" for its lack of credibility, poor acting, and overuse of voyeuristic tendencies. The reviewer also mentions that the special effects are not impressive and the plot is weak.",0.014553381104688285
"synopsis: sonny koufax( adam sandler) 
 is a rich, childish, angry man who has just been dumped by his girlfriend vanessa( kristy swanson). 
 in a bid to impress vanessa sonny impersonates his friend kevin( jon stewart) and adopts a 5 year old boy named julian( cole and dylan sprouse) while kevin is on an overseas trip. 
 under sonny 's supervision julian soon learns to lie to women, tell people how he"" wipes his ass,"" throw tantrums, and scream for his"" god damned"" treats. 
 self centered, julian breaks a school classmate 's arm without apologizing or even realizing he has done anything wrong. 
 meanwhile sonny bribes julian with sugary talk, food, toys, and flashy promises in order to get the kid to perform. 
 not surprisingly the government takes julian away from sonny 's incompetent supervision, and this leads to a custody battle. 
 opinion: it 's a movie about an embittered creep teaching a little kid to be a jerk, and we all get cheap laughs 
 because for 90 minutes the innocent kindergartner never finds out what it means when he mimics all the bad boy behavior. 
 that 's the essence of big daddy. 
 but there 's a bigger issue 
 involved: 
 marketing. 
 movies that are rated pg and pg-13 are heavily marketed towards children of preteen age and below. 
 on tv, film clips advertise these movies as family- friendly hit comedies. 
 then when you go see them they turn out to be either raunchy sex acts like austin powers with characters named fat bastard-- or big daddy where adult characters get their jollies by buddying up to naive five year olds and encouraging them to experiment with drugs and mistreatment. 
 folks in hollywood are trying to develop a preteen market for raunchy stuff, but i think most american parents would agree that early childhood is a time of mental innocence that should be protected from uncaring media market exploitation. 
 to many american mothers 
 there 's probably nothing more pathetic and unsettling than the sight of a theater full of unsupervised little",negative,"The review is negative because the reviewer criticizes the movie ""Big Daddy"" for its inappropriate content and misleading marketing. The reviewer also disapproves of the main character's behavior and the negative influence it has on the child character.",0.011772553297783357
"jarvis cocker of pulp once said that he wrote common people after noticing mike leigh box- sets on the video shelves -- he had a feeling that economic deprivation was becoming a tourist experience for the well- off. 
 maybe it 's a classic case of displacement: it 's easier to see jarvis' own lyrics( obsessed with acrylic and wood chip on the wall) as a fetishization of lowlife, rather than leigh 's films. 
 but it 's worth being reminded that drab interiors and a couple of working- class characters do n't make for a guarantee of' authenticity' 
, let alone a good film. 
 it 's the triumph of secrets& lies, then, that it goes beyond gestures of sympathy for the common people into a probing of just what it means to seek' authenticity' and honesty in everyday lives. 
 following her adopted mother 's funeral, hortense, a young black optometrist, sets out to find her birth mother, and is disturbed to find out that she is white. 
 it is cynthia, a factory worker who lives in a shabby house with her perpetually moody daughter roxanne. 
 cynthia 's younger brother maurice is a successful photographer who has not seen his sister for ages, largely because of his wife 's animosity towards her. 
 hortense calls up cynthia, who initially breaks down in tears and refuses to see her. 
 but their mutually suspicious meeting gives way to a warm friendship eventually. 
 cynthia invites hortense to come along to a party, which maurice is hosting... 
 secrets& lies has a simple enough theme at its heart -- as one character puts it,"" best to tell the truth, is n't it? 
 that way nobody gets hurt. 
"". 
 but if the film delivers much more than a trite message, it 's because we are also shown how hard it can be to face up to ugly truths, even while the evasions and unspoken grievances slowly choke us. 
 hence, cynthia 's difficulty with acknowledging( first to herself, then to others) that hortense is her daughter",positive,"The review is positive because the reviewer praises the movie ""Secrets & Lies"" for its exploration of authenticity and honesty in everyday lives. The reviewer also appreciates the film's portrayal of difficult truths and unspoken grievances.",0.44991492699493674
"historical epic as a genre was almost banished from hollywood in early 1990s. 
 for many critics, scholars and, most importantly, film producers, it was a thing of the past- something that could have attracted crowds only in the era of black- and- white television and non- cgi special effects. 
 but in 1995, same as in the case of dances with wolves five years ago, there came the man who decided to use of all his energy and talents of actor, producer and director in order to revitalise that particular genre. 
 and, same as in the case of dances with wolves, he was awarded for his effort with"" oscars"". 
 the name of the film was braveheart, and the name of its director and main actor was mel gibson. 
 the plot chronicles the life of scottish warlord and folk hero william wallace( 1272- 1305). 
 in his time, english king edward i"" longshanks""( 
 played by patrick mcgoohan) has almost completely subdued entire british isles, including scotland, whose proud inhabitants are now subjected by"" ius primae noctis"" and various other forms of humiliation and oppression by english knights. 
 although english had killed his father many years ago, young scottish commoner william wallace( played by mel gibson) does n't care about politics and wants only to have peaceful life with his new bride murron( played by catherine maccormack). 
 murron 's death changes that and wallace takes arms and, together with small but dedicated band of followers, begins guerrilla campaign that would systematically destroy almost every english garrison in the country. 
 through time, more and more people join his ranks and in 1298 wallace 's rag- tag army scores surprising victory against english knights in the battle of stirling bridge. 
 but the newly won freedom is endangered by the internal squabbles between scots themselves, especially nobles under pretender robert the bruce( played by angus macfadyen), who would n't like to have a simple commoner as a national leader. 
 braveheart was only the second film in the directorial career by mel gibson,",positive,"The review is positive because the reviewer praises the movie ""Braveheart"" for its revitalization of the historical epic genre. The reviewer also appreciates the acting, directing, and production efforts of Mel Gibson, and the film's portrayal of the life of Scottish warlord William Wallace.",0.16328113811813394
"the tagline for this film is:"" some houses are just born bad"". 
 so i did n't expect too much from this. 
 but i had preserved a little spark of ope as i entered the theatre. 
 i thought: liam neeson, cathrine zeta jones and jan de bont. 
 i thought, mabe it will be fun? 
 and in fact the beginning was rather intriguing. 
 but by the end of it i thought: 
 why liam neeson and cathrine zeta jones, jan de bont?. 
 these great actors are basically helpless with this muddled mess that defies any rationality. 
 here is the story: in the monstrously over- decorated mansion known as hill house, visitors are tricked by an unknown doctor( liam neeson) into being guinea pigs in a fright experiment under the guise of an insomnia investigation. 
 among them is a sophisticated bisexual( cathrine zeta jones), a cynical dope( owen wilson) and a gentle and emotional lady( lily taylor). 
 actually, the doctor is researching the"" primordial fear reaction"" and intends to plant disturbing ideas in his subjects and watch what happens. 
 but he gets unexpected help from the house itself. 
 it rumbles, hums and belches forth remarkable sights. 
 portals become veiny stained- glass eyeballs. 
 a fireplace guarded by stone lions gapes like a sinister mouth. 
 filmy cherubic spirits take shape under sheets and billowy curtains. 
 but the computerized spooketeria rarely feels real, placing an emotional wall between audience and screen. 
 the second half of the film is basically about the main heroine running back and forth from the sinister lamps and evil furniture. 
 is that exciting or what? 
 the worst thing about it is that it did n't have to be bad. 
 it 's based on a great book,`` the haunting of hill house, '' by shirley jackson. 
 a 1963 adaptation of the book was scary and intelligent. 
 it played with the greatest fears of our sub conscience. 
"" the blair witch project"", that cost less",negative,"The sentiment is negative because the reviewer expresses disappointment with the film. They criticize the plot, the use of special effects, and the performances of the actors, stating that they were unable to save the film from being a ""muddled mess"".",0.228002233151946
"eddie murphy has a lot riding on harlem nights. 
 as the movie 's writer, director, executive producer, and star, murphy will shoulder all of the blame if harlem nights fails. 
 but at the same time, he 'll receive all of the credit if it succeeds. 
 should you sacrifice your hard- earned cash to support murphy 's risky gamble? 
 well, that depends on whom you trust more: 
 me or eddie murphy. 
 here 's what murphy thinks:"" i think the audience is expecting a good time. 
 they gon na get sexy. 
 they gon na get funny. 
 they gon na get drama. 
 they gon na get all of that. 
 i think it 's the best movie i 've done""( paramount radio network). 
 here 's what i think: harlem nights is charmless, unoriginal, disappointing, and almost without question, the worst film of the actor 's career 
( i have n't seen best defense). and guess who 's to blame?! 
 the movie 's problem is not murphy 's direction: harlem nights is a fairly good looking film. 
 no, 
 the project was probably doomed even before the cameras rolled. 
 murphy 's awful script is the culprit. 
 let 's count the mistakes 
 he makes in his first attempt at screenwriting:( 1) murphy shatters the record for the most profanity in a motion picture. 
 yes, he even outdoes his own work in raw. 
 practically every line of dialogue in harlem nights contains at least one four letter word. 
 and after 15 minutes, it gets irritating. 
( 2) murphy wastes the talents of his fine cast. 
 richard pryor, redd foxx, michael lerner, and della reese face the impossible task of carving out credible characters from a script riddled with stereotypes. 
 each of them shines occasionally, but basically what we have are good performers stuck in a bad vehicle. 
( 3) 
 the movie demeans women by depicting them solely as sexual objects and as pawns in power",negative,"The sentiment is negative because the reviewer criticizes the film for being unoriginal, disappointing, and the worst film of Eddie Murphy's career. They also criticize the script for being filled with profanity and stereotypes, and for wasting the talents of the cast.",0.114965319032728
"written by mark rosenthal and lawrence konner starring charlize theron, bill paxton, david paymer as reviewed by james brundage 
 i 'm beginning to get fed up. 
 over my four years as a critic, the thing which has kept me going is the moderate balance of films. 
 the good balances the bad. 
 i try to see both in equal proportions. 
 but disney 's mighty joe young remake marks the fourth week in which i have n't seen a truly terrible movie. 
 it 's a backwards machismo, i suppose, the urge to see the things which you so loathe; but i need to see a bad film every once in a while. 
 and, you know what, mighty joe young does n't qualify. 
 far from being bad, mighty joe young is actually a family fun movie. 
 it 's enjoyable, appropriate, cute, cuddly, and all of those other things that i 've been seeing in every movie since a bug 's life. 
 mighty joe young tracks a 2, 000 pound gorilla in the wilds of africa that is taken to a reserve in. 
.. 
 california?. 
. 
. for safe- keeping. 
 okay. 
 a little unrealistic, but who ever said a kid 's movie had to have the slightest hint of realism. 
 the first half of the movie is a gorillas in the mist- esque hatred of poachers woman- of- the- wild motif. 
 the second half is a straight up parody of king kong, awestruck onlookers and all. 
 mark one down. 
 i 'm feeling relaxed. 
 it is, as a point of fact, an extremely un- creative movie. 
 but, as a vetern, i can say quite honestly that creativity does n't count for as much as it should. 
 so that saves mighty joe from my wrath, although my colleagues and cohorts and surely bashing this film at this very moment. 
 this is not the film to take a girl on a date to. 
 it 's not the film for you.",positive,"The sentiment is positive because the reviewer describes the film as enjoyable, appropriate, cute, and cuddly. They acknowledge that the film is not very creative, but they still find it to be a fun family movie.",0.6104592981823121
"while screen adaptations of john irving 's novels have been disappointingly uneven, the films have all shared one particular strength: key casting. who can forget john lithgow as roberta muldoon, the transsexual quarterback of"" the world according to garp,"" or nastassja kinski as susie the bear in"" the hotel new hampshire""? 
 a lot of good casting decisions have gone into the making of"" the cider house rules,"" an adaptation of irving 's poetic 1994 novel about a restless young man called homer wells. 
 among those sound judgments was the decision to have the splendid tobey maguire assume the pivotal role; the decision to cast michael caine as his mentor and father figure, dr. 
 wilbur larch, the ether- addicted head obstetrician of the st. 
 cloud 's orphanage, maine; and the decision to offer jane alexander and kathy baker supporting roles as his head nurses. 
 then there are the brethren who populate the apple orchard where homer wells finds himself shortly after leaving st. 
 cloud 's, including delroy lindo, oscar? 
 -worthy as the foreman of the migrant work detail that drifts up and down the coast as the seasons take them. 
 there 's kate nelligan as the matriarch of the cider house, and charlize theron as candy, the lovely, lonely wife of a wwii bomber pilot( paul rudd) sent away on a mission overseas leaving candy to set lobster traps with homer wells, a man who 's never seen the ocean before let alone a lobster. 
 am i forgetting anyone? 
 yes. 
 kieran culkin and paz de la huerta as dissolute orphanage residents who make you sit up and take notice every time they 're on the screen. 
 but with"" the cider house rules,"" the good people decisions do n't end with the cast. 
 irving has written his own screenplay in order to get it right this time( last year 's"" simon birch,"" loosely based on his"" a prayer for owen meaney,"" was a big- screen example of irving handled sub- standardly); the author appears fleetingly as",positive,"The sentiment is positive because the reviewer praises the casting decisions and the performances of the actors. They also appreciate that the author of the original novel wrote the screenplay, suggesting that this contributed to the film's success.",0.4027081669757738
"in the series of the erotic thrillers that flooded the videoshelves in the early 1990s came this french- canadian co- production by max fischer. 
 the movie is set in paris where its hero, struggling american author david mirkine( judd nelson, at the time specialised in playing losers and people at the edge of sanity) suffers a terrible writers bloc. 
 he manages to overcome crisis after beginning romantic relationship with beautiful model anabelle 
( laurence treill). 
 unfortunately, she hangs out in jet set circles, which gradually makes mirkine pathologically jealous. 
 her connection with powerful david caravan( pierce brosnan) would make mirkine step the line between reason and sanity and put in motion whole series of violent and tragic events. 
 although few pseudoerotic scenes and some elements of the plot do indeed make this film an erotic thriller, drama would probably be more appropriate genre label. 
 pacing of the film is simply too slow to thrill the viewers, and those patient enough to sit through its entirety have to wait a long time between any interesting or significant developments. 
 low budget also becomes painfully visible, and physical attributes of laurence 
 treill are the only thing worth watching in this film. 
 unfortunately, this film has too little of those supposedly erotic scenes, so those who wanted to watch erotic thriller have all the reasons to feel disappointed. 
 instead, they would have to settle with pointless, slow scenes involving nelson, brosnan and laurence treill 's attempts of serious acting. 
 all of those definitely not worth spending hour and half of someone 's precious time. 
",negative,"The review is negative because the reviewer criticizes the movie for its slow pacing, low budget, and lack of interesting developments. The reviewer also mentions that the film is not worth spending time on.",0.18355909708898396
"susan granger 's review of"" session 9""( usa films) sometimes you just get more than your bargained for... 
 like when boston- based hazmat elimination, run by scottish actor peter mullan and his trusty assistant, david caruso, assures a town engineer( paul guilifoyle) that they can remove insidious asbestos fibers from a victorian hospital facility in a week. 
 erected in 1871, deserted and decomposing since 1985, the danvers mental hospital, is one of the most malevolent"" locations"" ever chosen for a film. 
 the structure is so massive- with its labyrinth of rubble- strewn corridors, collapsing floors, stagnant pools of water, isolation cells, and ominous surgical chambers where experimental pre- frontal lobotomies were performed- that their task seems impossible within that time frame. 
 and each member of their inexperienced crew( stephan gevedon, brandon sexton iii, and josh lucas) is coping with his own personal demons as, one by one, their minds seem to be affected by the grim areas in which they 're working. 
 the film 's title is derived from salvaged reel- to- reel audio- recorded sessions involving the demonic possession of a young woman who is suffering from multiple personalities. 
 by the time session 9 occurs 
 so do dreadful disasters. 
 filmmaker brad anderson obviously envisioned this as a gruesome chainsaw- massacre- type ghost story but 
 the script lacks structure and is n't particularly scary. 
 the conclusion is more ludicrous than convincing 
. 
 on the granger movie gauge of 1 to 10,"" session 9"" is a dark, gloomy 4. 
 silly me. 
. 
. 
 at first, i thought that the original name of the danvers lunatic asylum bore some reference to mrs. 
 danvers, the creepy housekeeper played by judith anderson in alfred hitchcock 's truly terrifying"" rebecca"" that also involved a cavernous mansion called manderley. 
",negative,The review is negative because the reviewer criticizes the movie for its lack of structure and not being scary. The reviewer also mentions that the conclusion is ludicrous and the movie overall is dark and gloomy.,0.001955604606791791
