review,label,nle
"seen may 2, 1998 at 3 
: 40 p. 
 m. 
 at the crossgates cinema 18, theater# 13, with chris wessell and sean o'shea for$ 5. 
[ theater rating: 
* 
** 1/2: very good sound, picture, and seats] the big- budget, mega- hype"" event"" movie is becoming so trendy now it is becoming a weekly routine instead of a seasonal one. 
 gluttony is hollywood 's favorite sin, but it is the movie- goers who pay the price by being dealt the same things over and over on an ever- worsening basis. 
"" lost in space"" is the latest such offering- a film 
 so poor it would be twice as good if it were mediocre 
. 
 it 's made up of every element of science fiction, but at no time does it evoke the slightest amount of wonderment 
 the genre was meant for. 
 audiences' attention spans are rapidly decreasing and as is the trend with such films, this one opens with a fast- paced space battle which serves not only as the most interesting scene in the film( probably because it has"" star wars"" written all over it), but as the producers' way of showing off their budget through the special effects. 
 battle scenes are worthless without tension, and since we have no idea what the setting is it 's impossible to care about anything that happens. 
 in essence, the entire segment works like a teaser for an arcade game, not a piece of filmmaking. 
 we meet the robinson family- a family of five that does not get along but has been chosen to act on earth 's behalf in effort to find another planet worthy of colonization due to the exhausting of our natural resources. 
 each member of the family has a special trait and personality, and yet none of them seem like actual people. 
 professor john robinson( hurt) is the intelligent, quiet leader who has devoted so much time to his work his family and marriage are suffering without his realizing it( it 's obvious what role this aspect will play). 
 of course this is all established through extremely melodramatic scenes such as the children and parents arguing and bickering among themselves and with each other, while the necessary problems are"" resolved"" at the right moments. 
 the only thing worse than the screenplay is the fact it 's presented in a completely serious manner without a trace of satire, and is so pathetic it 's laughable 
. 
 the first act is not a building of a story, but a",negative,"The review is negative because the reviewer criticizes the movie for being repetitive, lacking originality, and having poor character development. The reviewer also mentions that the movie is presented in a completely serious manner without a trace of satire, which they found laughable."
"jean- luc picard( patrick stewart) and the rest of the crew of the u. 
 s. 
 s. 
 enterprise are back for their third outing in the ninth film based on the 1960 's series, star trek. 
 gone are kirk, spock and mccoy and in their wake in the very able and very talented cast from star trek: the next generation. 
 as usual, a crisis is brewing and it is up to the crew of the enterprise to make the galaxy safe again. 
 this time out the united federation of planets and an alien race led by f. 
 murray abraham are trying to move some colonists off a planet against the colonist 's will. 
 it turns out that this planet is the fountain of youth and the federation and their alien buddies feel that is should be used for the good of everyone and not just a few hundred colonists. 
 of course picard feels that this sort of treachery is wrong, so he disobeys direct orders and vows to help protect the colonists. 
 insurrection is a lighter movie than the last two star trek films. 
 the film focuses on the lofty question of whether the rights of society as a whole outweighs the rights of a small group. 
 in this respect it gets back to the roots of star trek by disguising social commentary as science fiction. 
 it does n't do a bad job, other than it tries to inject too much humor into the story line. 
 many of the jokes are your typical inside star trek- fan- only jokes, while many of the others just fall flat. 
 the other criticism that i had with the story was that it ignores common sense. 
 there are only a few hundred people on this whole planet, why do they have to be moved? 
 the explanation is that the planet has to be bombarded with deadly radiation so that this fountain of youth effect will be strong enough to help heal f. 
 murray abraham 's aliens who number only a couple of dozen. 
 so the basic story line is bad enough in that we have a few hundred being booted out for a few billion, at least that 's plausible. 
 but in reality we have a few hundred being moved for the benefits of a few dozen, which makes no sense whatsoever. 
 the other little hiccup in logic is the inclusion of worf( michael dorn), the trusty klingon. 
 worf was on star trek: the next generation, so they want to include him in the films. 
 no problem so far. 
 worf is now a character of star trek",positive,"The review is positive because the reviewer appreciates the social commentary disguised as science fiction in the movie. Despite pointing out some logical flaws and unnecessary humor, the reviewer seems to enjoy the movie overall, especially the performances of the cast."
"plot: during a 10-week span in london in the fall of 1888, jack the ripper, a man whose identity was never uncovered, committed five ritualistic, grisly murders of prostitutes. 
 this film is based on the graphic novel which assembled a theory behind the century- old mystery. 
 critique: awesome! 
 i love dark movies, i love stylish movies, i love good mysteries and i love johnny depp. 
.. 
 so yes, i really dug this movie! 
 the hughes brothers are back with a vengeance, out to show the world that they are directors to be taken seriously, and this movie, my friends. 
. 
. is very serious! 
 in fact, it 's also very gruesome and bloody and morbid and creepy and black as hell. 
 it ai n't for the kids, i 'll tell you that much. 
 and if any of those recent hack directors of two- bit scream- esque slasher flicks want some advice on effective"" kill scenes"", do not look any further, because each one committed to this film 
 is a cinematic stunner, especially when compared to their generic slice- and- dice contrivances. 
 in fact, most of this film 's structure is very creative, the actors, all solid, the atmosphere and"" feel"" of the picture, remarkably real 
( got ta love those"" unfortunates""), and the descent into darkness, well honed by the filmmakers. 
 you can almost taste the seediness off the screen and quickly come to appreciate the politics of the time. 
 but it 's also an impressive mystery film, based on the true- life tale of jack the ripper, a man whose identity was never discovered. 
 the theory in this film is based on the graphic novel"" from hell"" written by alan moore and presents a compelling story, which despite being a little oliver stone- ish, did manage to tie up all of its loose ends quite nicely, and present us with an entertaining bowl of mayhem, sexual depravity, drug usage, insanity, murders and love? 
 yes, the brothers even managed to slip a little"" love"" story in here, and despite not truly being developed, i guess it could 've been much worse and taken up more time than was provided already. 
 that 's right 
, there 's no real need to put any"" romance"" in a film about a mass murderer! 
 but that aside, you got ta give up the props to actor extraordinaire johnny depp, who once again possesses the strength in character and",positive,"The review is positive because the reviewer praises the movie for its dark and stylish nature, solid acting, and creative structure. The reviewer also appreciates the mystery element of the movie and the effective kill scenes. Despite a minor criticism about the inclusion of a love story, the reviewer seems to enjoy the movie overall."
"the trailers and the beginning of the move sum up this plot very easily. 
 three filmmakers venture into the woods of maryland to track down the legend of the blair witch for a documentary they are making. 
 they disappear and their footage is discovered a year later buried underneath the foundation of a one hundred year old house. 
 from there, things become a little more complicated. 
 i can say, with absolute assurance, that no film has ever had quite the impact that this little movie has had on me. 
 although i know it was all a staged"" mockumentary"", 
 there 's no denying the psychological impact this film will leave on you 
. 
 i did n't feel much upon initially watching it. 
 i just thought it was an interesting film with some pretty creepy parts. 
 i never even dreamed that thirty minutes after the film had ended i would be frightened out of my mind just discussing it with a friend. 
 i 've gotten chills every time i 've brought it up since then. 
 this is not a movie that hits you right away. 
 instead this is a movie that sits at the base of your spine, waits until you think everything is okay 
, then it slowly starts to creep 
 it 's way up into your mind. 
 this is truly the most frightening movie i have ever had the pleasure to watch. 
 the film is comprised of home video and 16 mm camera footage that the documentarians supposedly shot for their blair witch film, so do n't expect any steadi- cam shots or fancy camera work. 
 this is as real as it gets folks. 
 i do n't recommend sitting too close to the theater screen though, because i guarantee you will get motion sickness from the constant movement of the camera. 
 the performances of the three lead actors in the film are so real 
, you may find yourself questioning whether all of this has really happened or not. 
 this is definitely a movie that warrants home video viewing, especially due to the fact that the bulk of the movie was shot with a standard home video camera. 
 the reality of the images will strike frighteningly close to home when viewed as actual video instead of the tape- to- film transfer done for the big screen. 
 word has it that a special edition dvd with boatloads of extras( hours of deleted scenes, alternate endings, commentary, the sci- fi channel special, and others) is being planned for release. 
 i urge artisan entertainment to forge ahead with this plan and give us what could be the dvd to",positive,"The review is positive because the reviewer describes the movie as having a significant psychological impact on them, calling it the most frightening movie they have ever watched. The reviewer praises the realism of the performances and the unique filming style. They also express excitement about the potential release of a special edition DVD with extra features."
"i have seen several( but not that many) 
 woody allen movies. 
 i did n't particulary like radio days, the purple rose of cairo, play it again, sam. 
 i quite enjoyed manhatten murder mystery and everything... 
 sex, and i loved might aphrodite. 
 however i found bullets over broadway to be a snoozing bore. 
 and bullets got some very raving reviews, but i did n't think i 'd like. 
 but i finally saw it( double feature with ready to wear i think) and hated it. 
 since. 
.. 
 i love you also seems to be getting raving reviews 
 i was n't sure if i 'd want to see. 
.. 
 thankfully i did! 
 people burst into singing and dancing, something i hardly ever like. 
 but 
 this movie is so infectious. 
 and funny! and entertaining! 
( and unlike evita, they only sing when they need to.) 
 sure some of the actors may not be great singers, but they seems to be having a great time, and so does the audience. 
 that 's all i have to say. 
 really, if you think that is going to be a dull movie, you 're probably dead. 
 and dead people should not be forced into movie theatres. 
 is mark leeper dead? 
 he said that"" this is an almost ghastly misfire"". 
 the movie is rated r, for* one* use of the word motherf 
* 
****. 
",positive,"The sentiment is positive because the reviewer expresses enjoyment and satisfaction with the movie. They found it infectious, funny, and entertaining, and appreciated the actors' performances and the audience's reaction."
"i feel sorry for the financial backers of"" waterworld,"" which is supposedly the most expensive film ever made( at$ 172 million!), and is also one of the stupidest- boy did they get ripped off! 
 in fact, this film is not really a movie, but more of an amusement park ride with a plot. 
 it 's not even just another case of cliches strung together 
( well, it is that too), it 's something that 's painful to watch because it relishes in its flaws. 
 kevin costner stars as a man who is some kind of mutant half man/ half fish. 
 he is an explorer/ mariner on an alternate earth that is completely covered by water because the polar ice caps melted. 
 he 's referred to as the mariner, but they"" the meaner"" would have been a more appropriate title because he 's cold, rigid, and strict- 
 and he 's supposed the be the good guy! 
 he docks at a small floating village of sorts. 
 he trades dirt for money and this introduces us to the other important characters. 
 first we meet one of the villains, then the soon- to- be heroine, a child prodigy, a wacky inventor, and a group of primitive people that somehow have some of the technology we have today, but also some of the low- tech tools used by pirates and vikings. 
 immediately the film 's biggest flaw is apparent 
: are these people primitive or highly advanced? 
 it does n't seem like anyone can read yet 
 they have ski- doos and airplanes! 
 how are these things powered? 
 and if they have airplanes, could n't they just keep flying until they reached dry land? 
 also, if the planet is completely covered in water where did they get the materials to make these things? 
 i 'm sorry, 
 i 'm all for checking your brain at the door when going to the movies, but elements like these can not go unnoticed because they draw our attention away from the story and confuse us 
. 
 there was potential here for a good pirate story set in medieval times before modern technology, so why mix the two together? 
 it does n't make any sense. 
 there really is n't much of a plot here because the story moves 
 so quickly it never takes time to explain anything. 
 the only thing we learn is that the prodigy child, enola( mojorino), has a tattoo on her back that is supposedly a map to"" dryland. 
"" who put the",negative,"The sentiment is negative because the reviewer criticizes the movie for its lack of logic, plot inconsistencies, and confusing elements. They also express disappointment with the characters and the overall storyline."
"talk about beating a dead horse! 
 when home alone was released in 1990, it was a breath of fresh air, and the final box office tally indicated how much audiences appreciated a genuinely- funny family film. 
 the unexpectedly high gross guaranteed a sequel, so, 
 two years later, we were subjected to home alone 2, which might as well have been called clone alone for all of the originality it exhibited. 
 for john hughes, two home alone movies were n't enough? 
 he began recycling the same kinds of villains and situations in almost every movie he was involved with, including a pathetic box office bomb called baby 's day out, last year 's live- action 101 dalmatians, and this year 's flubber. 
 now, inexplicably, hughes has exhumed not only these worn- out plot elements, but the"" home alone"" name as well. the result? 
 1997 's worst sequel 
( edging out speed 2 and batman and robin), home alone 3. by changing the characters, hughes( who wrote and co- produced the film), along with his co- conspirator, director raja gosnell, has attempted to inject new life into a series that is way past the point of cardiac arrest. 
 the new kid, alex pruitt, is played by alex d. 
 linz( one fine day), and 
 the only thing he has going for him is terminal cuteness. 
 he 's not half as interesting as macaulay culkin once was. 
 the villains, pale copies of joe pesci and daniel stern, are even less engaging than the pair of idiots in flubber. 
 in home alone 3, there are four of them( olek krupa, david thornton, lenny von dohlen, and rya kihlstedt), but all that means is an opportunity for twice as many pratfalls. 
 this time, the kid is n't left home alone because his parents have gone on a trip. 
 instead, he has developed a bad case of chicken pox, so he ca n't go to school. 
 his dad( kevin kilner) is away on business and his mom( haviland morris) has to run errands, so, for the most part, he 's all by himself during the day. 
 through a series of coincidences too irritating to relate, a top secret u. s. 
 air force integrated circuit comes into his possession. 
 it 's wanted by a gang of four international crooks who intend to break into alex 's home to retrieve it. 
 the eight- year old, who is wise beyond his years, booby",negative,"The sentiment is negative because the reviewer criticizes the movie for being unoriginal and boring. They express disappointment with the characters, plot, and the overall execution of the movie."
"the most popular trend of the last couple of years has been the twist ending. 
 watching one of these movies, everything seems to make sense until suddenly you are blown away by an unexpected surprise. 
 when the film ends, there is a moment of confusion, then recollection, then some more confusion, then possibly a second viewing for clarification. 
 this is a description of an ideal twist that perfects everything it sets out to do and more. 
 good surprises make movies fun to watch. 
 then there are the bad twists. 
 you either know what is going to happen ten minutes into the movie( i 'm talking about you reindeer games) or you did not guess the ending because it is so outrageously stupid 
. 
 screwed perfectly suits the latter description. 
 what starts out as a dumb guilty pleasure which should be fun to mock with a group of friends ends with a complex finale with way too much going on. 
 by the writers of man on the moon and the people vs. 
 larry flynt, scott alexander and larry karaszewski leave milos forman behind and take a stab at film directing. 
 whoops. 
 screwed is an inane christmas carol gone berserk with few genuine laughs and many acting embarrassments 
. 
 norm macdonald stars as willard filmore, a hard working chauffeur who just wants a little respect from his rich, old, insidious boss, miss crock( elaine stritch). 
 when he overhears her plans to fire him on christmas day, willard is convinced by his best friend rusty( dave chapelle) to kidnap crock 's beloved dog and hold it for a ransom of one million dollars. 
 too excited to pay any attention, the hapless losers' plan goes awry when the dog escapes and returns home. 
 now crock thinks willard has been kidnapped and the two friends, realizing they can make even more money, decide to stage the fake kidnapping. 
 of course, everything that could go wrong does. 
 the first forty- five minutes of screwed is harmless entertainment- a guilty pleasure that should be enjoyably bad. 
 but the convoluted script eventually builds into a disaster that is impossible to bear. 
 the more idiotic these characters get, the more reckless the script becomes 
. 
 at one point, i wanted to get out of my seat and yell at these characters:"" no, you idiot! 
"" 
 i 'm not just talking about willard and rusty, who were extremely annoying 
, i 'm also talking about the cops in this film. 
 a monkey could have solved this case within an hour but these",negative,"The sentiment is negative because the reviewer criticizes the movie for its convoluted script, lack of genuine laughs, and poor acting performances. They also express frustration with the characters and the overall storyline."
"in this year 's summer movie preview issue of_ 
 entertainment_weekly_, theresa connelly described her writing- directing debut,_ polish_wedding_, as"" a child that did not quite become the child i thought it would. 
"" 
 one wonders what exactly she originally had in mind for this jumbled film, a comedy- drama that 
 appears doomed at its most basic elements. 
 the family at the center of_ polish_wedding_ is the pzoniaks, which consists of mother jadzia( lena olin), father bolek( gabriel byrne), sole daughter hala( claire danes) and four sons of varying degrees of facelessness. 
 it 's a large family, but there 's not a sympathetic one in the whole bunch, certainly not in the primary trio. 
 jadzia takes pride in building and maintaining a home and family, but she 's kind of a hypocrite since she 's carrying on an affair with a businessman rade serbedzija). 
 her excuse for her affair is neglect from bolek, who is such a passive wimp that one can not connect with his sadness and frustration. 
 also, how could he possibly pay so little attention to the saucy, sexy jadzia? 
 hala is a spoiled, self- centered high school dropout whose reckless sexual experimentation predictably leads to pregnancy. 
 with such an unappealing set of characters, it 's no surprise that_ polish_wedding_ 's plot complications are far from involving. 
 naturally, jadzia and bolek would like hala to marry the young cop, russell schuster( adam trese), who fathered the child, but he refuses to make such a commitment. 
 ho- hum. 
 another complication, involving the decidedly un- virginal hala being selected to crown a statue of the virgin mary, is first played for laughs and then, 
 inexplicably, as a profound statement in the film 's climax -- which, ironically, is funnier than any of the film 's lame attempts at humor, such as a painfully labored slapstick attempt where jadzia leads her sons in a charge to beat up russell. 
 that scene is but one in a number of writing miscues by connelly. 
 the jadzia- bolek conflict is resolved in an overly pat way not unfamiliar to sitcom viewers. 
 the hala- russell conflict is n't resolved in as contrived a manner, but their ultimate resolution will leave viewers wondering if they had missed something. and then 
 there 's some atrocious dialogue, which i am sure was not supposed to be as ridiculous as they sound:"" look at all these pickles. 
 just looking at them gives me such great sadness. 
",negative,"The sentiment is negative because the reviewer criticizes the film for its unappealing characters, lack of humor, and poor writing. The reviewer also finds the plot complications uninteresting and the dialogue ridiculous."
"tv 's buffy finds herself on the other side of the supernatural spectrum in"" simply irresistible. 
"" 
 sarah michelle gellar 
, that never- ceasing crusader against never- ending evil every tuesday night on the wb network, here plays a down- on- her- luck chef suspected of dabbling in witchcraft after her flailing restaurant receives help in the form of magically scrumptious meals. 
 taste test results: some vampire slaying, though out of place, would have really livened this 
 excruciating movie up. 
"" 
 simply irresistible"" is actually quite easy to deny, a disaster of culinary and other proportions pretty much from the opening on. 
 gellar 's amanda finds herself falling for harried henri bendel exec tom( sean patrick flannery of powder) around the same time she discovers an uncanny ability to mystically manifest emotions in her cooking, a secret ingredient that arouses both his interest in her and the public 's in her tiny tribeca eatery. 
 all this love and sorcery have a lot to do with the telekinetic crab that also figures into the story, a tale that at times plays like an american spin on 1993 's mexican classic"" like water for chocolate. 
"" 
 several differences: one,"" like water"" did n't have a telekinetic crab, and two,"" like water"" was a good film. 
"" 
 simply irresistible,"" on the other hand, is about as challenging as an easy- bake oven. 
 amateurishly staged scenes cancel each other out in their badness, from an embarrassing seduction in a literal vanilla fog to an impromptu dance sequence where tom and amanda do their best fred and ginger- though fred and ginger never took part in anything this garish. 
 the intrusive musical score distracts from the flat dialogue at regular intervals, but 
 it 's not like you 're were going to miss much. 
 in fact, take away the few instances of salty language and this has made- for- disney channel written all over it. 
 but a majority of"" simply irresistible"" 's resistibility factor has less to do with the afore- mentioned overkill 
 than the bland leads 
- tom and amanda are so thin and ambiguously defined that there 's just no fun rooting for their inevitable"" happily ever after. 
"" 
 nor do the otherworldly powers that serve to bring them together make sense, so we 're left with a ho- hum relationship based on enchanted eclairs; it 's not going to last long, people. 
 perhaps sensing this, the filmmakers have piled on weird supporting characters for acting vets like betty buckley, dylan baker and",negative,"The sentiment is negative because the reviewer finds the film to be a disaster from the beginning. The reviewer criticizes the film for its poorly staged scenes, flat dialogue, and bland leads. The reviewer also finds the plot uninteresting and the characters poorly defined."
