review,label,nle,max_shap_value
"plot: two teen couples go to a church party, drink and then drive. 
 they get into an accident. 
 one of the guys dies, but his girlfriend continues to see him in her life, and has nightmares. 
 what 's the deal? 
 watch the movie and"" sorta"" find out... 
 critique: a mind- fuck movie for the teen generation that touches on a very cool idea, but presents it in a very bad package. 
 which is what makes this review an even harder one to write, since i generally applaud films which attempt to break the mold, mess with your head and such( lost highway& memento), but there are good and bad ways of making all types of films, and these folks just did n't snag this one correctly 
. 
 they seem to have taken this pretty neat concept, but executed it terribly. 
 so what are the problems with the movie? 
 well, its main problem is that it 's simply too jumbled 
. 
 it starts off"" normal"" but then downshifts into this"" fantasy"" world in which you, as an audience member, 
 have no idea what 's going on 
. 
 there are dreams, there are characters coming back from the dead, there are others who look like the dead, there are strange apparitions, there are disappearances, there are a looooot of chase scenes, there are tons of weird things that happen, and most of it is simply not explained. 
 now i personally do n't mind trying to unravel a film every now and then, but when all it does is give me the same clue over and over again, i get kind of fed up after a while, which is this film 's biggest problem. 
 it 's obviously got this big secret to hide, but it seems to want to hide it completely until its final five minutes. 
 and do they make things entertaining, thrilling or even engaging, in the meantime? 
 not really. 
 the sad part is that the arrow and i",negative,"The review is negative because the reviewer criticizes the movie for its confusing plot, poor execution of a good concept, and lack of explanation for the strange events happening in the movie. The reviewer also mentions that the movie is too jumbled and fails to engage the audience.",0.06628146856509663
"the happy bastard 's quick movie review damn 
 that y2k bug. 
 it 's got a head start in this movie starring jamie lee curtis and another baldwin brother( william this time) in a story regarding a crew of a tugboat that comes across a deserted russian tech ship that has a strangeness to it when they kick the power back on. 
 little do they know the power within... 
 going for the gore and bringing on a few action sequences here and there, virus 
 still feels very empty, like a movie going for all flash and no substance. 
 we do n't know why the crew was really out in the middle of nowhere, we do n't know the origin of what took over the ship( just that a big pink flashy thing hit the mir), and, of course, we do n't know why donald sutherland is stumbling around drunkenly throughout. 
 here, it 's just 
"" hey, let 's chase these people around with some robots"". 
 the acting is below average, even from the likes of curtis. 
 you 're more likely to get a kick out of her work in halloween h20. 
 sutherland is wasted and baldwin, well, he 's acting like a baldwin, of course. 
 the real star here are stan winston 's robot design, some schnazzy cgi, and the occasional good gore shot, like picking into someone 's brain. 
 so, if robots and body parts really turn you on, here 's your movie. 
 otherwise, it 's pretty much a sunken ship of a movie. 
",negative,The review is negative because the reviewer criticizes the movie for its lack of substance and below-average acting. The reviewer also mentions that the movie feels empty and the plot is not well explained.,0.12083386258208811
"it is movies like these that make a jaded movie viewer thankful for the invention of the timex indiglo watch. 
 based on the late 1960 's television show by the same name, the mod squad tells the tale of three reformed criminals under the employ of the police to go undercover. 
 however, things go wrong as evidence gets stolen and they are immediately under suspicion. 
 of course, the ads make it seem like so much more. 
 quick cuts, cool music, claire dane 's nice hair and cute outfits, car chases, stuff blowing up, and the like. sounds like a cool movie, 
 does it not? 
 after the first fifteen minutes, it quickly becomes apparent that it is not. 
 the mod squad is certainly a slick looking production, complete with nice hair and costumes, but that simply is n't enough. 
 the film is best described as a cross between an hour- long cop show and a music video, both stretched out into the span of an hour and a half. and 
 with it comes every single clich? 
. 
 it does n't really matter that the film is based on a television show, as most of the plot elements have been recycled from everything we 've already seen. 
 the characters and acting is nothing spectacular, sometimes even bordering on wooden. 
 claire danes and omar epps deliver their lines as if they are bored, which really transfers onto the audience. 
 the only one to escape relatively unscathed is giovanni ribisi, who plays the resident crazy man, ultimately being the only thing worth watching. 
 unfortunately, even he 's not enough to save this convoluted mess, as 
 all the characters do n't do much apart from occupying screen time. 
 with the young cast, cool clothes, nice hair, and hip soundtrack, it appears that the film is geared towards the teenage mindset. 
 despite an american' r' rating( which the content does not justify), the film is way too juvenile for the older mindset. 
 information on the characters is literally spoon-",negative,"The review is negative because the reviewer criticizes the movie for its cliched plot elements, wooden acting, and lack of character development. The reviewer also mentions that the movie is boring and fails to engage the audience.",0.08297293972052376
" quest for camelot"" is warner bros.' 
 first feature- length, fully- animated attempt to steal clout from disney 's cartoon empire, but the mouse has no reason to be worried. 
 the only other recent challenger to their throne was last fall 's promising, if flawed, 20th century fox production"" anastasia,"" but disney 's"" hercules,"" with its lively cast and colorful palate, had her beat hands- down when it came time to crown 1997 's best piece of animation. 
 this year, it 's no contest, as"" quest for camelot"" is pretty much dead on arrival. 
 even the magic kingdom at its most mediocre 
 -- that 'd be"" pocahontas"" for those of you keeping score -- is n't nearly as dull as this. 
 the story revolves around the adventures of free- spirited kayley( voiced by jessalyn gilsig), the early- teen daughter of a belated knight from king arthur 's round table. 
 kayley 's only dream is to follow in her father 's footsteps, and she gets her chance when evil warlord ruber( gary oldman), an ex- round table member- gone- bad, steals arthur 's magical sword excalibur and accidentally loses it in a dangerous, booby- trapped forest. 
 with the help of hunky, blind timberland- dweller garrett( carey elwes) and a two- headed dragon( eric idle and don rickles) that 's always arguing with itself, kayley just might be able to break the medieval sexist mold and prove her worth as a fighter on arthur 's side. 
"" quest for camelot"" is missing pure showmanship, an essential element if it 's ever expected to climb to the high ranks of disney. 
 there 's nothing here 
 that differentiates"" quest"" from something you 'd see on any given saturday morning cartoon -- subpar animation, instantly forgettable songs, poorly- integrated computerized footage. 
( compare kayley and garrett 's run- 
 in with the angry ogre 
 to herc 's battle with the hydra. 
 i rest my case.)",negative,"The review is negative because the reviewer criticizes the movie for its subpar animation, forgettable songs, and poorly integrated computerized footage. The reviewer also mentions that the movie is dull and fails to differentiate itself from other similar movies.",0.3483306736381444
"synopsis: a mentally unstable man undergoing psychotherapy saves a boy from a potentially fatal accident and then falls in love with the boy 's mother, a fledgling restauranteur. 
 unsuccessfully attempting to gain the woman 's favor, he takes pictures of her and kills a number of people in his way. 
 comments: stalked is yet another in a seemingly endless string of spurned- psychos- getting- their- revenge type movies which are a stable category in the 1990s film industry, both theatrical and direct- to- video. 
 their proliferation may be due in part to the fact that they 're typically inexpensive to produce( no special effects, no big name stars) and serve as vehicles to flash nudity( allowing them to frequent late- night cable television). 
 stalked wavers slightly from the norm in one respect: the psycho never actually has an affair; on the contrary, he 's rejected rather quickly( the psycho typically is an ex- lover, ex- wife, or ex- husband). 
 other than that, stalked is just another redundant entry doomed to collect dust on video shelves and viewed after midnight on cable. 
 stalked does not provide much suspense, though that is what it sets out to do. 
 interspersed throughout the opening credits, for instance, a serious- sounding narrator spouts statistics about stalkers and ponders what may cause a man to stalk( it 's implicitly implied that all stalkers are men) while pictures of a boy are shown on the screen. 
 after these credits, a snapshot of actor jay underwood appears. 
 the narrator states that"" this is the story of daryl gleason"" and tells the audience that he is the stalker. 
 of course, really, this is the story of restauranteur brooke daniels. 
 if the movie was meant to be about daryl, then it should have been called stalker not stalked. 
 okay. 
 so we know who the stalker is even before the movie starts; no guesswork required. 
 stalked proceeds, then, as it begins: obvious, obvious, obvious. 
 the",negative,The review is negative because the reviewer criticizes the movie for its lack of suspense and obvious plot. The reviewer also mentions that the movie is just another redundant entry in the genre and fails to engage the audience.,0.08389380679598718
"capsule: in 2176 on the planet mars police taking into custody an accused murderer face the title menace. 
 there is a lot of fighting and not a whole lot of story otherwise. 
 john carpenter reprises so many ideas from his previous films, especially assault on precinct 13, that the new film comes off as his homage to himself. 
, 0( -4 to +4). 
 john carpenter apparently believes that action scenes in which people fight something horrible are the same as horror scenes. 
 for a writer and director of horror films, supposedly an expert on horror, 
 it is a very bad mistake to make. 
 ghosts of mars is called a horror movie, but it is more just a drawn out fight between humans and a surprisingly low- powered alien menace. 
 in addition if anybody but john carpenter had made ghosts of mars, carpenter would have grounds to sue. 
 this film is just chock full of pieces taken from assault on precinct 13, the thing, and prince of darkness. 
 it is, in fact, surprising that carpenter managed to fit so many pieces of his previous work into this film in such an admittedly novel way. 
 but that still does not make for a really good science fiction experience. 
 ghosts of mars takes place in the year 2176. 
 mars has been mostly terraformed so that humans can walk on the surface without breathing gear( which is good for the film 's budget). 
 it is never mentioned, but the gravity on mars has been increased somehow to earth- normal, again making it easier to film. 
 society has changed a bit by that time, but it has advanced surprisingly little. 
 apparently the culture has changed so that women are much more in positions of control. 
 and from carpenter 's view, women have really made a mess of things. 
 society has stagnated under female control so that beyond some minor technological advances society has changed less in 175 years than we might expect it to change in ten. 
 the basic plot of ghosts of mars has much in",negative,"The review is negative because the reviewer criticizes the movie for its lack of story and originality. The reviewer also mentions that the movie is just a drawn out fight between humans and a low-powered alien menace, and it fails to provide a good science fiction experience.",0.13506942924245036
"so ask yourself what"" 8 mm""("" eight millimeter"") is really all about. 
 is it about a wholesome surveillance man who loses sight of his values after becoming enmeshed in the seedy, sleazy underworld of hardcore pornography? 
 is it about the business itself, 
 how, bubbling just beneath the surface of big- town americana, there 's a sordid world of sick and depraved people who wo n't necessarily stop short of murder in order to satisfy their sick and twisted desires? 
 or is it about those who can, those who are in a position to influence the making of the kinds of films sick and demented people want to see? 
 i 'm not talking about snuff films, supposed"" documentaries"" of victims being brutalized and killed on camera. 
 i 'm talking about films like"" 8 mm"" and its director, joel schumacher. 
 with a recent run of big budget movies to his credit--"" batman& robin,"""" a time to kill,"""" batman forever,"""" the client 
"" --schumacher certainly has that kind of influence. 
 is"" 8 mm"" something you really want to see? probably not. 
 the first two- thirds of"" 8 mm"" unwind as a fairly conventional missing persons drama, albeit with a particularly unsavory core. 
 then, as it 's been threatening all along, the film explodes into violence. 
 and just when you think it 's finally over, schumacher tags on a ridiculous self- righteous finale that drags the whole unpleasant experience down even further. trust me. 
 there are better ways to waste two hours of your life. 
 nicolas'"" snake eyes""' cage plays private investigator tom welles who is hired by a wealthy philadelphia widow to determine whether a reel of film found in her late husband 's safe documents a young girl 's murder. 
 welles goes about his assignment rather matter- of- factly, and the pieces of the puzzle fall into place rather neatly, almost as if you do n't need any specialized skills or training to do this",negative,"The review is negative because the reviewer criticizes the movie for its unsavory core, violence, and self-righteous finale. The reviewer also mentions that the movie is a waste of time and fails to engage the audience.",0.08857275164818462
"that 's exactly how long the movie felt to me. 
 there were n't even nine laughs in nine months. 
 it 's a terrible mess of a movie starring a terrible mess of a man, mr. hugh grant, a huge dork. 
 it 's not the whole oral- sex/ prostitution thing( referring to grant, not me) that bugs me, it 's the fact that grant is annoying. 
 not just adam sandler- annoying, we 're talking jim carrey- annoying. 
 since when do 
 eye flutters and nervous smiles pass for acting? 
 but, on the other hand, since when do really bad slapstick( a fistfight in the delivery room culminating in grant 's head in joan cusack 's lap -- a scene he paid$ 60 to have included in the movie) and obscene double entendres( robin williams, the obstetrician, tells grant 's pregnant girlfriend she has"" a big pussy,"" referring of course to the size of the cat hairs on her coat, but nonetheless, grant paid$ 60 to have the exchange included in the movie) pass for comedy? 
 nine months is a predictable cookie- cutter movie with 
 no originality in humor or plot. 
 hugh grant plays a successful child psychiatrist. 
 why a child psychologist? 
 so the scriptwriters could inject the following unfunny exchange: 
 kid: my dad 's an asshole. 
 grant( flutters eyelashes, offers a nervous smile, then responds in his annoying english accent and i- think- i- actually- have- talent attitude): could you possibly elaborate on that? 
 kid: 
 my dad 's a_ huge_ asshole. 
 more like a hugh asshole, but that 's beside the point, which is: nine months includes too many needlessly stupid jokes that get laughs from the ten year olds in the audience while everyone else shakes his or her head in disbelief. 
 so, anyway, grant finds out his girlfriend is pregnant and does his usual reaction( fluttered eyelashes, nervous smiles). 
 this paves the way for every possible",negative,"The review is negative because the reviewer criticizes the movie for its lack of originality in humor or plot, and for its annoying lead actor. The reviewer also mentions that the movie is a predictable cookie-cutter movie with needlessly stupid jokes.",0.029182709742253413
"call it a road trip for the walking wounded. 
 stellan skarsg? 
 rd plays such a convincingly zombified drunken loser that it 's difficult to spend nearly two hours of screen time in his smelly, boozed- out presence. 
 yet this ever- reliable swedish actor adds depth and significance to the otherwise plodding and forgettable aberdeen, 
 a sentimental and painfully mundane european drama. 
 playwright august strindberg built his career on families and relationships paralyzed by secrets, unable to express their longings until the hour is far too late. 
 that 's an accurate reflection of what aberdeen strives for, focusing on the pairing of an alcoholic father, tomas( skarsg? rd) and his alienated, openly hostile yuppie daughter, kaisa( lena headey, gossip). 
 they have n't spoken in years, and would n't even be making the long trip from norway to aberdeen, scotland by automobile if it were n't for kaisa 's mother( charlotte rampling, under the sand) rotting away in a hospital bed from cancer. 
 in a soap opera twist, mother has only a few days to live. 
( only in the movies, right?) 
 too blitzed to even step foot on a plane, tomas hits the open road with kaisa. 
 loathing each other all the while, they make periodic stops for tomas to puke on the dashboard or pass out -- whenever he is n't muttering 
 what a rotten kid she turned out to be. 
 despite his sloshed viewpoint, tomas recognizes that the apple has n't fallen very far from the tree. 
 kaisa gets nosebleeds from snorting coke, sabotages her personal relationships through indifference, and is unable to restrain her quick and vindictive temper. 
 ai n't they a pair? unable to find true notes of unspoken familial empathy in the one- note and repetitively bitchy dialogue, screenwriters kristin amundsen and hans petter moland fabricate a series of contrivances to propel events forward -- lost money, roving street hooligans looking for drunks to kick around, nosy cops, and flat tires all figure into the schematic and convenient narrative. 
 by the time",negative,The review criticizes the movie for its unconvincing characters and mundane plot. The reviewer also finds the dialogue to be repetitive and the narrative to be contrived.,0.10259679335253441
"plot: a young french boy sees his parents killed before his eyes by tim roth, oops... 
 i mean, an evil man. 
 he vows revenge on that man and is taught the ways of the musketeer by some old dude who used to be one himself? 
 anyway, fourteen years go by and... 
 arrgh, well, you know the rest. 
.. 
 swish- swish- zzzzzzz! critique: 
 this is a pretty bad movie. 
 let 's see, where should i start? 
 okay, first of all, 
 the story is just plain boring. 
 it 's not original, is entirely predictable and lacks energy 
. 
 okay, what 's next? 
 acting, you say. 
 hmmmm, well, the main actor, justin chambers, is basically an uncharismatic version of chris o'donnell but with less range( think about that!), and mena suvari, is just plain off. 
 not as bad as thora birch was in dungeons& dragons, but entirely miscast, with bad deliveries, awful sequences and a piss- poor accent 
 that comes and goes. 
 now i 'm not sure if this was ms. 
 suvari 's fault or the director 's, but 
 i 've definitely seen her at a much higher level than in this film. 
 the only semi- saving grace actor- wise is tim roth as the irrepressible"" bad guy"", but once again, it 's not something that we have n't seen before... 
 a thousand times... 
 by the same guy!! 
 tim, please... for the love of god, beg your agent to ask the marketplace for some modern day"" american roles"" for you as a"" nice guy"" in a romantic comedy or something. 
 stretch, dude... 
 stretch!! 
 we all know that you can do much better than this gunk. 
 alright, 
 what else was bad in this film? 
 oh yeah, the score! yikes",negative,"The reviewer finds the movie to be boring, predictable, and unoriginal. The acting is criticized as being poor, with the main actor being described as uncharismatic and the female lead as miscast with a poor accent.",0.1221949707560087
