review,label,nle
" 
 you ca n't have any of this. 
 it 's all mine!"" --- 
 a twisted priest( charles huevelman) hordes his tasty fried chicken while dana( angela zimmerly) looks on uninterested. 
 an evil presence, appropriately named the presence( dj vivona), rules over an alternate dimension where neither angels nor demons can touch him. 
 for kicks, the presence likes to trick a human into rounding up five of his or her friends so they can all be sent to his dimension and be systematically slaughtered. 
 when something goes wrong and one of the presence 's recent victims escapes, the angels and demons are alerted to his existence and feel he is a threat that needs to be stopped. 
 they enlist the help of alison( ramona midgett), a recent suicide victim, to return to the flesh and follow the six new enlistees through the ice wall that surrounds the the nether- realm. 
 her mission is to melt away the ice barrier and allow the angels and demons access by reminding the presence of who he once was, an ancient court jester named abraham who lost his job when his king and queen were killed. 
 the king 's sorcerer, amblyn( who also lost his job), decided to take abraham under his wing as an apprentice. 
 during the downtime in his unemployment, amblyn decided to create a new dimension where sorcery, evil, and torture ruled. 
 abraham wished to follow his master into this new realm, so he was asked to show his devotion to the evil wizard by murdering his one true love. 
 in this new realm, amblyn would allow abraham to pursue the sport of hunting and destroying the humans that would be brought to this realm. 
 after each murder, abraham would become stronger, until his power surpassed that of amblyn 's. because of the screw- up that allowed the recent escape, abraham was able to destroy his master and take control of the realm himself. 
 as alison quests to find abraham and show him the errors of his ways, the six new hapless humans",negative,The review is negative because the reviewer criticizes the plot of the movie as confusing and chaotic. The reviewer also mentions the systematic slaughter of characters and the lack of a clear explanation for the events in the movie.
"alexandre dumas meets hong kong action with newcomer justin chambers reprising the oft- played character of dashing swordsman d'artagnon in director peter hyam 's adventure"" the musketeer. 
"" for some reason that i may figure out later, i do n't know why the time, money and effort were put into the making of"" the musketeer. 
"" 
 it may be that someone had the clever idea of combining the dumas characters and story with the current enamor with the action work of hong kong imports like this film 's xin- xin xiong("" once upon a time in china"") and yuen woo- ping from"" crouching tiger, hidden dragon. 
"" 
 the result is a mix of genres that do n't mesh well. 
 elements of the ritz brothers- style comedy( for those few who remember that comedic troupe from the 1939"" the three musketeers""), the man with no name from"" a fistful of dollars 
""( d'artagnan demands that the bad guys apologize to his horse in a direct ref to the clint eastwood spaghetti western) and hong kong action choreography are all utilized in the original script by gene quintano. 
 the result is an action flick that bears little resemblance to its source material while it makes contemporary that material in an effort to grab the"" matrix"" crowd. 
 alexandre dumas may well be rolling in his grave if he knows what was done to his classic oeuvre and characters. 
 the real problem with the"" the musketeer"" lies in the casting of the two lead, romantically intertwined characters, d'artagnan and francesca( mena suvari). 
 chambers has the boyishly handsome good looks for the character, a la chris o'donnell, but lacks any onscreen charisma 
. 
 suvari has the doe- eyed, pretty looks as the chambermaid who has the ear of the queen, but she, too, does not have the chemistry to command the screen. 
 if"" the musketeer"" makes them any money, they should invest in acting lessons. 
 stronger performers may have helped to raise the bar on this one. 
 the",negative,"The review is negative because the reviewer criticizes the mix of genres, the lack of resemblance to the source material, and the lack of onscreen charisma from the lead actors. The reviewer also suggests that the actors should invest in acting lessons."
" run lola run', a german import that gained a stellar reputation at the sundance film festival, is a dazzling and kinetic film that deals with the subjects of fate and chance. 
 for a berserk and retroactive 81 minutes of non- stop movement, we follow a fiery- haired heroine named lola( franka potente) as she sprints to save her boyfriend from the clutches of drug dealers. 
 lola has roughly twenty minutes to somehow retrieve 100, 000 marks in time to save manni( moritz bleibtreu) from being killed by the dealer. 
 but, in something of a pseudo-` groundhog day' approach, director tom tykwer gives lola three separate chances to best navigate her way toward the goal. 
 in these trio of episodes, we gradually learn the unique effects of fate, for even if tiny changes are made in lola 's journey, the future can be seriously altered. 
` run lola run' is an experience like` fight club' or` the matrix', in that each film takes you through a super- charged wormhole of bending reality in surreal and exciting ways. 
 in addition, all three movies have a visual style that separates them from the rest of the pack. 
` lola' is no exception, with stylish quick- flash camera work and cinematography that serves as scintillating eye candy from the get- go. 
 tykwer 's world is a landscape of mood and color, with brilliant shades of red and pink( including lola 's fiery hair) used as effective symbolism throughout. 
 with it 's visual style and mind- blowing pace,` run lola run' 
 is one of the more invigorating movies of the year. 
 even more so when considering the fact it 's all stuffed rather nonchalantly into an 81-minute time period. 
 as a heroine, potente does little more than run wildly through the streets( as the title suggests), but 
 she has a certain flair and charisma. 
 her exemplary running form made me wonder if she is actually a track star. 
 meanwhile, bleibtreu does an equally fantastic",positive,"The review is positive because the reviewer praises the movie for its kinetic and dazzling style, its exploration of fate and chance, and its unique visual style. The reviewer also compliments the performances of the actors and the mind-blowing pace of the movie."
"except for a few bright moments of good verbal comedy, that old feeling is embarrassing to sit through. 
 bette midler and dennis farina play lilly and dan, actress and author, once married 
, now violently divorced, and back together one last time for their daughter molly 's( paula marshall) wedding. 
 lilly and dan hate each other passionately -- so passionately that they have sex at the wedding and fall in love again. 
 each ditches his or her current spouse of 14 years and runs off with the other. 
 molly, married now only 24 hours, runs off in search of her irresponsible parents while her husband keith( jamie denton) tries to console the abandoned spouses. 
 in molly 's search for her parents, she somehow falls in love with lilly 's paparazzo joey( danny nucci). 
 meanwhile, the newlywed keith ends up consoling dan 's wife rowena( gail o'grady) in bed. 
 the audience i saw this with apparently thought that all the adultery was hilarious. 
 i 'm no dan quayle, but i thought it was a bit creepy 
. 
 the message seemed to be"" ignore your responsibilities unrepentantly and have fun fucking who you wish. 
"""" family values"" aside, there 's something cruel about all this. 
 perhaps this movie would have played well as a black comedy, but the movie is a romantic comedy. 
 we are supposed to be rooting for these creeps. 
 reiner and screenwriter leslie dixon tried to make it easier on us by making the victims unlikeable. 
 lilly 's husband is a new- age flake who rambles about"" emotional valet parking,"" so we can write him off as irrelevant 
. 
 dan 's wife is vain, manipulative, and jealous so 
 we can write her off as a bitch. 
 molly 's husband is a career- conscious, self- centered republican politician who thinks she 's too fat( and just for good measure, he also fucked dan 's wife), so we can write him off as a prick 
. 
 everyone else falls in",negative,"The review is negative because the reviewer criticizes the movie for its portrayal of adultery as hilarious and its message of ignoring responsibilities. The reviewer also mentions that the movie is supposed to be a romantic comedy, but the characters are unlikeable and cruel."
"it 's probably inevitable that the popular virtual reality genre("" the matrix,"""" existenz"") would collide with the even more popular serial- killer genre("" kiss the girls,"""" se7en""). 
 the result should have been more interesting than"" the cell. 
"" 
 as the movie opens, therapist catharine deane( jennifer lopez) treats a catatonic boy( colton james) by entering his mind through some sort of virtual reality technique that 's never fully explained. 
 after months of therapy sessions in a surreal desert, catharine has no success to report. 
 meanwhile, killer carl stargher( vincent d'onofrio) has claimed another victim. 
 his particular hobby is to kidnap young women, keep them in a glass cell overnight, and drown them. 
 he takes the corpse and soaks it in bleach, then suspends himself over the body and jerks off while watching a video tape of the drowning. 
 although carl 's been doing this for awhile, he 's recently become sloppy, and fbi agent peter novak( vince vaughn) is closing in fast. 
 not fast enough, though, to keep carl from sticking another woman( tara subkoff) in the cell or to catch him before he suffers a schizophrenic attack that leaves him in a coma. 
 from the videos in carl 's house, peter can see that the drowning cell is automated and will fill with water forty hours after the abduction. 
 to save the kidnapped girl, peter has to find the cell before the end of the day, and comatose carl 's not talking. 
 so off they go to catharine in the hope that she can go inside carl 's mind and find out where the cell is in time. 
 the focus of"" the cell"" in on the ornate interior of carl 's mind, but the universe director tarsem singh creates seems more an exercise in computer- generated spectacle than an exploration of the psychotic personality. 
 for the most part, it 's style without substance. 
 in his own mind, carl is a decadent emperor in flowing robes",negative,The review is negative because the reviewer criticizes the movie for its lack of substance and its focus on style over exploration of the psychotic personality. The reviewer also mentions that the movie is more of an exercise in computer-generated spectacle than an interesting story.
"david lynch 's"" blue velvet"" begins and ends with colorful, bright shots of flowers and happy americans mowing their lawns in a seemingly perfect american town. 
 however, what lies inside this nominally safe atmosphere is a"" strange world"" of drug dealers, sadists, and murderers. 
 the opening and closing shots are a wonderful contrast to the rest of the gloomy, disturbing film. 
 they show not to make assumptions from first glance and that oddness is common in all places under all circumstances. 
 odd would be a perfect adjective to describe this film, its characters, its direction, and its story. 
 thankfully, the obscurity that"" blue velvet"" relies on is enough to make this film enjoyable. since its elements are so originally weird, you never know what will happen next. 
 this is the main goal of a movie; to be spontaneous and surprising. 
"" blue velvet"" miracuously succeeds at this even though it contains mediocre acting. 
 lynch creates such a hypnotic world that it is hard to resist his style of story telling. 
 the film starts off with the discovery of a severed ear by a college boy( kyle maclachlan). 
 from this point maclachlan finds himself involved with a lounge singer( isabella rossellinia) who has lost her son and husband to a kidnapping. 
 the plot is much more detailed than the aforementioned and this is what makes david lynch 's story telling so amazing. 
 maclachlan becomes involved in a forbidden relationship, in another relationship that could have been taken straight out of a high school flick, and he is put into the shoes of a drug dealer who has some wild adventures with some wild friends. 
 through these multiple stories, maclachlan lives multiple lives and as we follow maclachlan, we are introduced to a variety of interesting subplots. 
 lynch masterfully builds these subplots but he does not piece them all together in the very end and make a convenient crowd pleasing conclusion. 
 instead he leaves some ambiguity and forces those curious enough to get the real meaning to watch the film several several times. 
",positive,"The review is positive because the reviewer praises the movie for its originality, spontaneity, and surprising elements. The reviewer also compliments the director's storytelling style and the interesting subplots in the movie."
"i have a great idea for a movie, one that ca n't miss. 
 see, i 've got coolio to do a song for the soundtrack, and about fifty athletes and celebrities to do cameo appearances. 
 it 's about professional basketball, so i 'll release it right around the nba finals to guarantee added publicity. 
 as for what the movie is actually about... 
 well, that will all sort itself out eventually. 
 i figure it will be a comedy, so i 'll throw a half- dozen writers at it and take the best of whatever they come up with. 
 maybe we 'll put a gender spin on it, see if we can get some women out to see it, too. 
 eddie is one of those phenomenally lazy films that infuriates me more than any other kind. 
 twister, as inane as the script might have been, at least required some creative technicians; mission: impossible, overwrought plot and all, at least involved genuine effort. 
 eddie just sits there, hawking up a formula story without any laughs, and makes every possible bad decision when a decision is required. 
 whoopi goldberg plays eddie franklin, a new york limo driver and die- hard knicks fan who is suffering through a dismal season for her beloved team. 
 coach john bailey( dennis farina) has lost control of his overpaid prima donnas, and the losses are beginning to mount. 
 the dwindling attendance inspires new team owner wild bill burgess( frank langella) to try a publicity stunt in which a lucky fan will get to be an honorary coach of the team. 
 the winner( surprise, surprise) is eddie, who becomes a fan favorite, and eventually the actual coach. 
 the knicks continue to lose, but eddie has some sassy tricks up her sleeve to inspire her troops. 
 incidentally, the knicks eventually start winning. 
 please raise your hand if that comes as a shock, and i will invite you to my all- night marathon of the bad news bears, major league, angels in the",negative,"The review is negative because the reviewer criticizes the movie for its formulaic story, lack of laughs, and bad decisions. The reviewer also mentions that the movie is lazy and infuriating, with every possible bad decision made when a decision is required."
"are you tired of all the hot new releases being gone by the time you get to the video store? 
 wafflemovies. 
 com is dedicated to finding those hidden gems that lie on the shelves. 
 everyweek, wafflemovies. 
 com reviews independent film and big studio pictures that deserve a second chance on video. 
 here is a sample review: welcome to sarajevo in light of america 's recent intervention in kosovo, welcome to sarajevo is a reminder of the horror america and the world ignored for years. 
 set in sarajevo 1992 and based on actual events, this picture examines the human and societal casualties of war. 
 the picture opens with a family escorting their young bride to her wedding. 
 as they make their way down the street, a sniper shoots the mother of the bride. 
 yet another reminder that daily life in war torn sarajevo can never escape the horror of war. 
 in this scene, we meet joe flynn( woody harrelson), an american reporter who stops reporting to help a priest carry the mortally wounded mother into a church. 
 joe is cocky, but also good at heart as he continues to carry out kind deeds for people he does n't even know. 
 his fellow reporter is the british michael henderson( stephen dillane). 
 michael is quickly growing tired of the horror that surrounds him and the world 's lack of interest. 
 henderson is haunted by the memory of an altar boy who witnesses the mother 's death as well as a young girl who he finds orphaned in a hospital after a mortar attack on citizens waiting in line for bread. 
 he decides to take action when a united nations' delegation descends upon the area to declare yugoslavia the fourteenth most dangerous place on earth. 
 henderson begins a series profiling an orphanage located on the front lines. 
 he finds children of all ages living in fear and taking care of each other with the help of one adult. 
 during his visits, he befriends a pre- teen girl, emira( emira nuseric) who serves as surrogate mother to baby roadrunner. 
",positive,The review is positive because the reviewer praises the movie for its examination of the human and societal casualties of war. The reviewer also compliments the performances of the actors and the movie's reminder of the horror of war.
"seen december 28, 1997 at 8: 
 45 p. 
 m. 
 at the crossgates mall cinema 18 
( guilderland, ny), theater# 8, with matt perreault and my sister jena for free( matt paid using pre- paid passes). 
 if there 's ever been an exception to the perils of excessive cliches and non- stop action, the james bond films are it. 
 and if there 's ever been a james bond film that not only proves this, but does so by pushing it to the extreme,"" tomorrow never dies"" is it. 
 opening sequences almost always make or break action films. 
 when done properly, not only are they actually exciting, but they foreshadow things to come. 
 this film starts off on the right foot by establishing the kind of atmosphere that could only be found in an action movie, but with a sense of the self- aware, enclosed universe where james bond movies take place in. 
 first there 's a high- tech, slightly complicated scene involving a british warship crossing into unfriendly, chinese waters. 
 there 's definite tension as there seems to be an unknown, but certainly hostile, third party involved who is manipulating both sides. 
 when the scene ends in tragedy, it 's clear there 's some kind of powerful conspiracy going on, and who else to call on for such a case but james bond? 
 the film uses good judgment 
 in the way it introduces us to bond( brosnon). 
 as the enemy was portrayed as evil and mysterious, bond is clearly( and obviously) depicted as an out- and- out hero. 
 he single- handedly takes out a small army of terrorists, and then must escape in the nick of time by flying away in a fighter jet while the co- pilot tries to strangle him and a terrorist in another jet tries to shoot him down! 
 this might sound like the kind of cliches films like this are notorious for( over-) using, but it works here because the film knows how to get",positive,"The review is positive because the reviewer appreciates the film's execution of cliches and action sequences, the tension and atmosphere created, and the portrayal of the characters, especially James Bond. The reviewer also mentions that the film starts off on the right foot and uses good judgment in introducing the characters."
"there 's some movies i enjoy even though i know i probably should n't and have a difficult time trying to explain why i did. 
"" lucky numbers"" is a perfect example of this because it 's such a blatant rip- off of"" fargo"" and 
 every movie based on an elmore leonard novel and yet 
 it somehow still works for me. 
 i know i 'm in the minority here but let me explain. 
 the film takes place in harrisburg, pa in 1988 during an unseasonably warm winter. 
 john travolta plays the local big- shot tv weatherman who is idolized by the townsfolk as if he were john travolta himself and not the bumbling russ richards. 
 russ is married to crystal( lisa kudrow), a blonde bimbo if ever there was one in the history of cinema. 
 she 's a selfish, nasty bitch full of lust and desire 
 but somehow she got the job of the lottery ball girl- 
 not exactly the most intellectually taxing job on the market. 
 crystal 's cheating on russ with their collective boss dick( ed o'neil), the tv station manager. 
 she does n't seem to genuinely like either of them, but it 's all she can do in this one- horse town. 
 much like"" fargo,"" this movie tells the story of a man who 's going broke and has to pull off a huge scam to get rich quick. 
 he enlists the help of his english friend gig( tim roth), the local stripclub owner who tells him how to fix the lottery. 
 along the way a subplot involving a two- bit thug named, accurately,"" dale the thug""( michael rappaport) gets mixed up in the process. 
 there 's also a bookie that somehow gets thrown in the mix once the deal goes down. 
 i 'm not going to elaborate much further on the plot and story because it continues to unwind and take twists and turns you 're not expecting. 
 this is a farce, which is basically a straightforward, adult- oriented comedy but does",positive,"The review is positive because the reviewer admits to enjoying the film despite its similarities to other works. The reviewer appreciates the film's plot twists and turns, the representation of characters, and the unfolding of the story. The reviewer also mentions that the film works for them, indicating a positive sentiment."
" footloose"" has only one goal in mind: to reel in an audience with cheesy sentiment and feel- good antics. 
 and i hate to admit it; i fell for it. 
 the movie is about a teenager( bacon) who moves to a small town from the big city, and discovers that dancing has been banned by the local reverend( lithgow). 
 he ends up falling for the preacher 's daughter( singer) and showing the whole town what the magic of dance can do. 
 as mentioned at the beginning of this review,"" footloose"" is an extremely hokey and predictable teen drama. 
 there are virtually no surprises, and the writing is second- rate. 
 so 
 why did i enjoy it so much? for one thing, 
 the cast is great. 
 kevin bacon oozes charisma in an early role. 
 we 're rooting for him right from the start, and, unlike most films of this genre, bacon does n't play him as the"" rebel without a clue"" sort. 
 yes, he does rebel, but he 's also polite when he needs to be. 
 and he never broods. 
 the rest of the cast is equally impressive. 
 john lithgow, seen here playing a normal guy for a change, is playing a man who would normally be a flat out villian. 
 but lithgow plays him as a concerned father who is trying to do what he feels is best for his daughter. 
 by the end of the film, we feel a genuine sense of love and understanding between him and the lori singer character. 
 another nice touch is the music. 
 we see the parents of the kids complaining that the music they listen to is filled with"" sexual innuendos"", but that 's not true at all. 
 the title track, performed by kenny loggins, is upbeat and fun. 
 during the final sequence, i was overcome with the urge to get off the couch and start dancing 
. 
 of course, i soon realized that would be a little pathetic",positive,"The review is positive because the reviewer admits to enjoying the film despite its predictability and hokiness. The reviewer praises the cast, the portrayal of characters, and the music. The reviewer also mentions being overcome with the urge to dance during the final sequence, indicating enjoyment and engagement with the film."
